date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:04:11	291063/291063	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Aug%202021%2014:04:32%20GMT	https://www.playzone.vn/	C:/My%20Web%20Sites/banphimco/www.playzone.vn/index.html	(from )
21:04:11	32/32	---M--	200	added ('OK')	text/plain	etag:%2258400f9e-20%22	https://www.playzone.vn/robots.txt		(from )
21:04:12	1232/1232	---M--	200	added ('OK')	image/png	etag:%22583900fe-4d0%22	https://www.playzone.vn/image/catalog/cart.png	C:/My%20Web%20Sites/banphimco/www.playzone.vn/image/catalog/cart.png	(from https://www.playzone.vn/)
21:04:12	239/239	---M--	200	added ('OK')	application/json	etag:%225b0e2246-ef%22	https://www.playzone.vn/manifest.json	C:/My%20Web%20Sites/banphimco/www.playzone.vn/manifest.json	(from https://www.playzone.vn/)
21:04:12	307199/307199	---MCZ	200	added ('OK')	text/css	etag:W/%2261279ea5-4afff%22	https://www.playzone.vn/assets/css/1-f069d6d403abc54f341860d6a320ea70-0-nitro-combined-1549463736-9908a5bc7a04bcdadfed45e551f35638.css	C:/My%20Web%20Sites/banphimco/www.playzone.vn/assets/css/1-f069d6d403abc54f341860d6a320ea70-0-nitro-combined-1549463736-9908a5bc7a04bcdadfed45e551f35638.css	(from https://www.playzone.vn/)
21:04:12	164544/164544	---MCZ	200	added ('OK')	text/css	etag:W/%2261279f6d-282c0%22	https://www.playzone.vn/assets/css/1-f069d6d403abc54f341860d6a320ea70-0-nitro-combined-1549463736-63ecb5859303287e0d1cc273a343b3c5.css	C:/My%20Web%20Sites/banphimco/www.playzone.vn/assets/css/1-f069d6d403abc54f341860d6a320ea70-0-nitro-combined-1549463736-63ecb5859303287e0d1cc273a343b3c5.css	(from https://www.playzone.vn/)
21:04:13	944295/944295	---M--	200	added ('OK')	image/jpeg	etag:%2257fce0f6-e68a7%22	https://www.playzone.vn/image/catalog/logo.jpg	C:/My%20Web%20Sites/banphimco/www.playzone.vn/image/catalog/logo.jpg	(from https://www.playzone.vn/)
21:04:14	70923/70923	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Aug%202021%2014:04:35%20GMT	https://www.playzone.vn/index.php?route=checkout/cart	C:/My%20Web%20Sites/banphimco/www.playzone.vn/index630e.html	(from https://www.playzone.vn/)
21:04:14	3182/3182	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Aug%202021%2014:04:35%20GMT	https://www.playzone.vn/index.php?route=common/popup_login	C:/My%20Web%20Sites/banphimco/www.playzone.vn/index9d69.html	(from https://www.playzone.vn/)
21:04:17	335304/335304	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Aug%202021%2014:04:38%20GMT	https://www.playzone.vn/build-cau-hinh-may-tinh.html	C:/My%20Web%20Sites/banphimco/www.playzone.vn/build-cau-hinh-may-tinh.html	(from https://www.playzone.vn/)
